邪恶道士魔卡,减血伤害抵消100.0%,有些怪物会释放持续减血伤害技能。处于减血状态，英雄血量会在一段时间内持续减少。,普通5-1支线脱逃武林监狱
冒牌占卜师魔卡,击败敌人，加成 +2.0%额外生命,普通4-4支线可以预知未来的女子
变身雕像雪人魔卡,击败敌人，加成 +2.0%额外生命,噩梦 8-1 诺丁的展厅陈列
奔跑少女魔卡,击败敌人，加成 +2.0%额外生命,普通1-4支线比闪电还要快！
拔剑出鞘的海军舰长魔卡,击败敌人，加成 +2.0%额外生命,船长外传：坎特伯雷街21号挑战本四大天王玛丽娜
新手幸存者魔卡,击败敌人，加成 +2.0%额外生命,普通8-4支线来自远方的少女
自由奔跑少女魔卡,击败敌人，加成+2.0%额外生命,普通9-5支线比火车还要快！
吟唱音乐家魔卡,击败敌人，加成+2.0%额外生命,噩梦4-6在此聚集！沙漠绿洲！
樱花盛开魔卡,击败敌人，加成+2.0%额外生命,狐狸外传：久远的传说猛虎村篇支线眼明不如手快···？
坚毅奔跑少女魔卡,击败敌人，恢复 +1.0%生命,普通2-2终点冲刺！
拉赫帝国观光列车魔卡,击败敌人，恢复 +1.0%生命,噩梦9-3复杂的铁轨衔接
调皮吸血鬼魔卡,击败敌人，恢复 +1.0%生命,普通1-6迷路的少女…？
精灵弓箭手魔卡,击败敌人，恢复+1.0%生命,普通 1-3 无人森林
复仇冤魂魔卡,击败敌人，恢复+1.0%生命,普通9-3支线幽灵废屋
附灵超自然少女魔卡,击败敌人，恢复+1.0%生命,噩梦3-2 冤魂附体的物品
奔跑少女母亲魔卡,击败敌人，恢复+1.0%生命,狐狸外传：久远的传说诅咒之湖篇支线密林赛跑能手
春秋派修炼馆秘典魔卡,击败敌人，提升 +8.0%攻击,普通 5-7 挑战春秋派习武馆！
实力非凡狙击手魔卡,击败敌人，提升 +8.0%攻击,普通9-3支线拉赫帝国狙击手
狡猾魔法师魔卡,击败敌人，提升 +8.0%攻击,普通 2-4 吹牛魔法师与双面女仆
超级泰坦魔卡,击败敌人，提升 +8.0%攻击,普通 2-5 雷霆反击
灵活奔跑少女魔卡,击败敌人，提升 +8.0%攻击,普通 4-4 热血的赛跑！
恶作剧红斗篷魔卡,击败敌人，提升 +8.0%攻击,普通 1-4 红斗篷
充满冒险精神魅魔魔卡,击败敌人，提升 +8.0%攻击,普通 魅魔镇（7-3支线）憧憬冒险的魅魔
热恋守护灵魔卡,击败敌人，武器技能恢复时间 -0.2秒,普通 1-5 守护灵
忙碌商人魔卡,击败敌人，武器技能恢复时间 -0.2秒,噩梦 4-3 挑剔商人的手段
精打细算商人二人组魔卡,击败敌人，武器技能恢复时间 -0.2秒,普通 10-1 被封住的物资仓库
讲义气哥布林魔卡,击败敌人，武器技能恢复时间 -0.2秒,噩梦 1-2 蓝骑士之约
愁闷奔跑少女魔卡,击败敌人，武器技能恢复时间 -0.2秒,普通 6-3 快速穿梭于桌子之间！
沉着冷静开锁工魔卡,击败敌人，武器技能恢复时间 -0.2秒,普通 7-5 地牢美食
挑剔商人魔卡,开始战斗，加成 +4.0%额外生命,普通 4-3 挑剔的商人
贫苦少女魔卡,开始战斗，加成 +4.0%额外生命,普通 1-3 血汗钱
烤曲奇的哥布林学生魔卡,开始战斗，加成 +4.0%额外生命,船长外传：坎特伯雷街21号转学生篇支线诚实饼干
令人欣慰魅魔魔卡,开始战斗，加成 +4.0%额外生命,普通 10-2 失踪的人们
飞快奔跑少女魔卡,开始战斗，加成 +4.0%额外生命,普通 5-2 更高、更强、更快！
魅魔咖啡厅创始人魔卡,开始战斗，加成 +4.0%额外生命,土正太外传：魅魔咖啡厅挑战4
光速奔跑少女魔卡,开始战斗，加成 +4.0%额外生命,摩托外传：伯莱坞往事星际大战篇支线比宇宙船还快
稚气贵族少女魔卡,开始战斗，加成 +4.0%额外生命,普通9-2坎特伯雷收容所
迷路泰坦老人魔卡,恢复能力 +10.0%,噩梦 2-4 拯救泰坦
扩大事业梦魔魔卡,恢复能力 +10.0%,噩梦7-4支线魅魔旷工
神速奔跑少女魔卡,恢复能力 +10.0%,普通 3-1 比幽灵还要快！
幸福雪人魔卡,恢复能力 +10.0%,普通 8-4 幸福的雪人
胆小双胞胎魔卡,恢复能力 +10.0%,普通 3-3 牺牲石像
慌乱魔法师魔卡,恢复能力 +10.0%,普通 7-5 地牢美食
超自然热爱者魔卡,恢复能力 +10.0%,普通 3-3 超自然少女与密室1
怕冷奔跑少女魔卡,恢复能力 +10.0%,普通 8-2 克服严寒的方法
懒惰妖精魔卡,恢复能力 +10.0%,普通 隐蔽的花丛（1-2支线）懒惰的妖精
地精鞋匠魔卡,攻击 +5.0%,普通 6-1 鞋匠的嘱托
罗拉的日记本魔卡,攻击 +5.0%,普通 3-5 超自然少女与密室3
冰冷魔镜女巫魔卡,攻击 +5.0%,普通 8-3 探索冰洞
苏醒武士魔卡,攻击 +5.0%,普通 大恶魔封印之处（7-5支线）赤雪传说2
细心安全员魔卡,攻击 +5.0%,普通 4-2 抓住逃犯
冰面奔跑企鹅魔卡,攻击 +5.0%,噩梦 8-5 小心翼翼冰面赛跑
解禁幽灵魔卡,攻击 +5.0%,普通 密室（3-5支线） 超自然少女与密室2
横冲直撞牛头人魔卡,攻击 +5.0%,新手目标6 佩带装备
圆形角斗场冠军魔卡,攻击 +5.0%,普通9-4支线流民圆形角斗场
魅力多样演员魔卡,攻击 +5.0%,摩托外传：伯莱坞往事挑战本守护者之旅
活泼双胞胎魔卡,攻击 +5.0%,普通 3-3 牺牲石像
充满自信海贼魔卡,攻击 +5.0%,普通 2-2 海贼王瑞秋
欢迎我公主魔卡,攻击 +5.0%,[预约奖励] 新增获取方式[商店60000]
可疑龙骑士魔卡,攻击 +5.0%,普通 1-1 神秘骑士
渺无人烟街头奔跑少女魔卡,暴击率+3.0%,土正太外传：魅魔咖啡厅艾米丽篇支线比昨天的我还要快！
炎龙化身召唤剑魔卡,暴击率+3.0%,噩梦7-6支线 绿色战士的秘密
手足情深魔卡,生命 +6.0%,普通9-3支线少年与自行车
归来骑士团长魔卡,生命 +6.0%,普通 4-2 失忆的骑士团长
喜欢纵横字谜教授魔卡,生命 +6.0%,噩梦 3-6 纵横字谜解答方法
淘气包三剑客魔卡,生命 +6.0%,噩梦 2-2 123木头人！
狂暴女仆魔卡,生命 +6.0%,普通 2-4 吹牛魔法师与双面女仆
星河派修炼馆秘笈魔卡,生命 +6.0%,普通 5-5 挑战星河派习武馆！
幸福快乐小牧童魔卡,生命 +6.0%,噩梦 6-1 帮助小牧童
后悔的九尾狐魔卡,生命 +6.0%,狐狸外传：久远的传说挑战九尾狐
守护者伙伴魔卡,生命 +6.0%,普通 2-2 泰坦王国里的守护者波比与琳达
热情奔跑少女魔卡,生命 +6.0%,普通 7-4 比熔岩还要快！
松鼠冒险家魔卡,生命 +6.0%,普通 8-3 冰雪中的克里斯
飞速轮椅奔跑少女魔卡,生命 +6.0%,普通 10-2 神秘自动售货机
饱食炎龙魔卡,生命 +6.0%,普通 5-1 美食家神龙少年
老花眼魔女魔卡,重伤伤害抵消100.0%,普通 3-4 魔女与制作魔法药剂
入戏太深群众演员魔卡,防御 +7.0%,摩托外传：伯莱坞往事蝙蝠女王篇支线消失的群众演员
身经百战反抗军魔卡,防御 +7.0%
好胜心强神仙魔卡,防御 +7.0%,噩梦 5-5 与翁仙斗智斗勇
活力铁匠魔卡,防御 +7.0%,普通 1-5 铁匠和海尔佛
向我微笑未来公主魔卡,防御 +7.0%,小公主的寻宝记录
暮年勇士魔卡,防御 +7.0%,普通 2-4 老骑士埃里娜
疲惫哥布林警察魔卡,防御 +7.0%,噩梦 1-5 警察与小偷
白兽魔卡,防御 +7.0%,普通 1-2 坎特伯雷的白兽
无私奉献龙骑士魔卡,防御 +7.0%,普通9-5支线皇女的崇拜者
仙境绿卡制造商魔卡,防御 +7.0%,噩梦9-5仙境绿卡的配方
敏捷奔跑少女魔卡,防御 +7.0%,船长外传：坎特伯雷街21号剑道部篇支线赛跑成绩是【优】
古怪老人魔卡,防御 +7.0%,普通 8-1 死亡之桥
大缸里的胆小男孩魔卡,防御 +7.0%,普通 5-5 藏身大缸中的男子
地牢王国雇佣兵魔卡,防御 +7.0%,普通 7-3 紧急救援
忙碌龙爪派魔卡,防御+ 7.0%,普通 5-6 恐怖的龙爪派
